
*******   STEP   1      *** NEFF=10 CALCULATION                
    2   0.152E-02   0.594E-02   0.108E-02
    3   0.705E-03   0.320E-02   0.496E-03
    4   0.551E-03   0.180E-02   0.801E-03
    5   0.357E-03   0.135E-02   0.844E-03
    6   0.247E-03   0.111E-02   0.175E-03
    7   0.193E-03   0.502E-03   0.771E-03

*******   STEP  50      *** NEFF=10 CALCULATION                
    1   0.331E-02   0.546E-02   0.223E-02
    2   0.138E-02   0.583E-02   0.953E-03
    3   0.640E-03   0.304E-02   0.522E-03
    4   0.519E-03   0.185E-02   0.782E-03
    5   0.374E-03   0.135E-02   0.730E-03
    6   0.262E-03   0.946E-03   0.143E-03

*******   STEP  51      *** NEFF=10 CALCULATION                
    1   0.340E-02   0.579E-02   0.229E-02
    2   0.146E-02   0.594E-02   0.107E-02
    3   0.573E-03   0.314E-02   0.441E-03
    4   0.390E-03   0.200E-02   0.397E-03
    5   0.356E-03   0.126E-02   0.210E-03
    6   0.259E-03   0.711E-03   0.288E-03
