     Evm         C11  C22  C33  C23  C13  C12   C44  C55  C66                                                                   A1  A2  A3
     1.79621     0.2896E+03  0.2956E+03  0.2807E+03  0.9720E+02  0.1031E+03  0.8822E+02  0.5659E+02  0.6856E+02  0.6385E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.81901     0.2898E+03  0.2958E+03  0.2808E+03  0.9710E+02  0.1031E+03  0.8811E+02  0.5647E+02  0.6853E+02  0.6376E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.84180     0.2899E+03  0.2960E+03  0.2809E+03  0.9701E+02  0.1031E+03  0.8801E+02  0.5635E+02  0.6850E+02  0.6368E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.86458     0.2900E+03  0.2962E+03  0.2811E+03  0.9684E+02  0.1031E+03  0.8792E+02  0.5626E+02  0.6852E+02  0.6359E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.88734     0.2900E+03  0.2965E+03  0.2812E+03  0.9668E+02  0.1031E+03  0.8782E+02  0.5618E+02  0.6854E+02  0.6350E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.91008     0.2901E+03  0.2968E+03  0.2813E+03  0.9652E+02  0.1032E+03  0.8773E+02  0.5609E+02  0.6856E+02  0.6342E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.93281     0.2902E+03  0.2970E+03  0.2814E+03  0.9636E+02  0.1032E+03  0.8763E+02  0.5601E+02  0.6858E+02  0.6333E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.95553     0.2902E+03  0.2973E+03  0.2816E+03  0.9620E+02  0.1032E+03  0.8753E+02  0.5593E+02  0.6860E+02  0.6325E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.97824     0.2903E+03  0.2975E+03  0.2817E+03  0.9605E+02  0.1033E+03  0.8743E+02  0.5585E+02  0.6862E+02  0.6317E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.00093     0.2904E+03  0.2978E+03  0.2818E+03  0.9590E+02  0.1033E+03  0.8733E+02  0.5577E+02  0.6864E+02  0.6309E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.02361     0.2904E+03  0.2980E+03  0.2819E+03  0.9575E+02  0.1034E+03  0.8723E+02  0.5569E+02  0.6866E+02  0.6301E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.04628     0.2905E+03  0.2983E+03  0.2820E+03  0.9560E+02  0.1034E+03  0.8713E+02  0.5562E+02  0.6869E+02  0.6294E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.06894     0.2905E+03  0.2985E+03  0.2821E+03  0.9546E+02  0.1034E+03  0.8703E+02  0.5554E+02  0.6871E+02  0.6286E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.09159     0.2906E+03  0.2988E+03  0.2822E+03  0.9531E+02  0.1035E+03  0.8694E+02  0.5547E+02  0.6873E+02  0.6279E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.11422     0.2906E+03  0.2990E+03  0.2823E+03  0.9517E+02  0.1035E+03  0.8684E+02  0.5540E+02  0.6875E+02  0.6272E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.13685     0.2907E+03  0.2992E+03  0.2824E+03  0.9503E+02  0.1036E+03  0.8674E+02  0.5532E+02  0.6877E+02  0.6264E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.15946     0.2908E+03  0.2995E+03  0.2825E+03  0.9489E+02  0.1036E+03  0.8664E+02  0.5525E+02  0.6879E+02  0.6257E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.18207     0.2908E+03  0.2997E+03  0.2826E+03  0.9476E+02  0.1036E+03  0.8655E+02  0.5518E+02  0.6881E+02  0.6250E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.20466     0.2909E+03  0.2999E+03  0.2827E+03  0.9462E+02  0.1037E+03  0.8645E+02  0.5512E+02  0.6883E+02  0.6244E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.22725     0.2909E+03  0.3002E+03  0.2828E+03  0.9449E+02  0.1037E+03  0.8636E+02  0.5505E+02  0.6884E+02  0.6237E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.24982     0.2910E+03  0.3004E+03  0.2829E+03  0.9436E+02  0.1038E+03  0.8626E+02  0.5498E+02  0.6886E+02  0.6230E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.27238     0.2910E+03  0.3006E+03  0.2830E+03  0.9423E+02  0.1038E+03  0.8617E+02  0.5492E+02  0.6888E+02  0.6224E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.29494     0.2911E+03  0.3008E+03  0.2830E+03  0.9411E+02  0.1039E+03  0.8607E+02  0.5485E+02  0.6890E+02  0.6217E+02     0.1000E-05  0.1000E-05  0.1000E-05
     2.29494     0.2911E+03  0.3008E+03  0.2830E+03  0.9411E+02  0.1039E+03  0.8607E+02  0.5485E+02  0.6890E+02  0.6217E+02     0.1000E-05  0.1000E-05  0.1000E-05
